radius_kpc,start_00_Vmodel_km_s,start_01_Vmodel_km_s,start_02_Vmodel_km_s,start_03_Vmodel_km_s,start_04_Vmodel_km_s,start_05_Vmodel_km_s,start_06_Vmodel_km_s,start_07_Vmodel_km_s,start_08_Vmodel_km_s,start_09_Vmodel_km_s,start_10_Vmodel_km_s,start_11_Vmodel_km_s,start_12_Vmodel_km_s,start_13_Vmodel_km_s,start_14_Vmodel_km_s,start_15_Vmodel_km_s
12.050000000000001,149.7953934549783,149.79539302745053,149.79539258560848,149.79539210900941,149.79539247768483,149.79538947483942,149.79538885515416,149.79538819920515,149.7953923341874,149.79539297966986,149.79539053674111,149.79539233866717,149.79539204510777,149.79538831275059,149.79538987927327,149.79538996569394
14.050000000000001,148.29605310155637,148.29605263394822,148.29605215770104,148.29605164147657,148.29605204325699,148.29604877527581,148.29604810409015,148.29604739861745,148.29605188384542,148.29605258695733,148.29604993254637,148.29605189053984,148.29605157432886,148.29604751842123,148.29604922346402,148.2960493102197
16.07,144.28450027295477,144.28449977095838,144.2844992697112,144.28449872274436,144.28449915198934,144.28449566707366,144.28449495594839,144.28449421569445,144.28449897733861,144.28449972803841,144.28449690347503,144.28449898708888,144.28449865457912,144.28449433804289,144.28449615656277,144.28449623860399
18.129999999999999,142.65898124594241,142.65898073396028,142.65898023671394,142.65897968893219,142.65898012381282,142.65897660218533,142.6589758900445,142.65897515890038,142.65897994078719,142.65898070067783,142.65897785485174,142.65897995430467,142.65897962487585,142.65897527494877,142.65897711303734,142.6589771812462
20.050000000000001,142.91470812637422,142.91470762836852,142.91470716193902,142.91470664153294,142.91470706095927,142.91470367571262,142.91470299921653,142.91470231744688,142.91470687688192,142.91470760894208,142.91470488390323,142.9147068944402,142.9147065859695,142.91470241954883,142.91470418696687,142.91470423422891
22.120000000000001,143.12266350364749,143.12266303942332,143.12266262918146,143.12266216176124,143.12266254763588,143.12265944931875,143.12265884178143,143.12265824813645,143.1226623674346,143.12266303974769,143.12266056091852,143.12266239008005,143.12266211956847,143.12265832796734,143.12265994631943,143.12265996320485
24.030000000000001,143.29686954888763,143.29686913341851,143.29686879654807,143.29686840003706,143.29686873909267,143.29686603686389,143.29686552159498,143.29686504196377,143.2968685671938,143.29686915645036,143.29686701366251,143.29686859520652,143.29686837412146,143.29686509447853,143.29686650686841,143.29686648845893
26.100000000000001,144.17660867435694,144.17660833240203,144.17660809942609,144.17660780498051,144.1766080748408,144.17660595412099,144.17660557164567,144.17660525243463,144.17660791782365,144.17660838461407,144.17660673167893,144.17660795220638,144.17660780097304,144.17660526797269,144.17660637781395,144.17660631364257
28.16,145.4231314635916,145.42313121379925,145.42313110677847,145.42313093719557,145.42313112120002,145.42312971947746,145.42312949944588,145.42312937402292,145.4231309843459,145.42313129936909,145.42313024981357,145.42313102561621,145.42313095897396,145.42312934588884,145.42313008153772,145.42312996474905
30.079999999999998,146.23705055854128,146.23705040946388,146.23705043823003,146.23705040375924,146.23705049432641,146.23704987398884,146.23704982973061,146.23704991291166,146.2370503801576,146.237050530093,146.23705013526839,146.23705042847985,146.23705045299025,146.23704983821324,146.23705016715223,146.23704999491844
32.140000000000001,147.09096669749675,147.09096667216875,147.09096686563134,147.09096699562795,147.09096697183381,147.09096730658177,147.09096747628095,147.09096781211443,147.0909668862914,147.09096683426398,147.09096723854861,147.09096694272955,147.0909670777508,147.09096768154356,147.09096751330517,147.09096727532082
34.060000000000002,148.23657580372839,148.23657590701546,148.23657626944308,148.23657656878365,148.23657642659023,148.23657774882531,148.23657813882031,148.23657873347497,148.23657637157402,148.23657611054983,148.236577339847,148.23657643588268,148.23657668422831,148.2365785462145,148.23657786387335,148.23657755999614
36.119999999999997,149.75749522128675,149.75749547447282,149.75749603195194,149.75749652730983,149.75749624751333,149.75749871627443,149.75749936125914,149.75750025436793,149.75749622873249,149.75749572489619,149.75749791104718,149.75749630173468,149.75749668085732,149.75750000220847,149.75749872291621,149.75749834431687
38.189999999999998,151.25237889124375,151.25237930585405,151.2523800722112,151.25238077781441,151.25238035007808,151.25238405078636,151.25238496926625,151.25238618177974,151.25238037072918,151.25237960589274,151.25238281954157,151.252380452794,151.2523809719365,151.25238586046305,151.25238393971293,151.25238348194176
40.100000000000001,152.59132015061022,152.59132072240828,152.59132169129413,152.59132260099997,152.5913220293867,152.59132692768583,152.59132811166805,152.59132963372392,152.59132208873913,152.59132107010879,152.5913252821212,152.59132217940686,152.59132283429255,152.5913292456072,152.59132670126479,152.59132616735965
42.170000000000002,154.23110543301553,154.23110618149769,154.23110737687929,154.23110851517239,154.23110778207635,154.23111402381497,154.23111550514676,154.23111737317123,154.23110788533475,154.23110658190583,154.23111191322889,154.23110798537758,154.23110879204287,154.23111691068985,154.23111366678,154.23111304857412
44.079999999999998,154.95847650808278,154.95847742912562,154.95847884622671,154.95848020813955,154.95847931722346,154.95848687223841,154.95848864445932,154.95849085124775,154.95847946318443,154.95847788139403,154.9584843071795,154.95847957251388,154.95848052777026,154.95849031581866,154.9584863880618,154.95848568695848
