radius,Vobs,errV,Vgas,Vdisk,Vbul,literal_m1_Vbar,literal_m1_Vmodel,literal_m1_residual,literal_m1_standardized_residual,signed_m1_Vbar,signed_m1_Vmodel,signed_m1_residual,signed_m1_standardized_residual,literal_fiducial_Vbar,literal_fiducial_Vmodel,literal_fiducial_residual,literal_fiducial_standardized_residual,signed_fiducial_Vbar,signed_fiducial_Vmodel,signed_fiducial_residual,signed_fiducial_standardized_residual
6.1,140.0,2.84,9.46,139.41,0.0,139.73059686410846,150.1891871002395,10.189187100239508,3.5877419367040524,139.73059686410846,150.1892961615265,10.1892961615265,3.587780338565669,99.03062985763546,140.2484484739255,0.2484484739254924,0.08748185701601846,99.03062985763546,140.24901892756031,0.2490189275603143,0.08768272097194166
6.43,142.0,0.88,10.61,141.85,0.0,142.2462463476629,153.0639399435346,11.063939943534592,12.572659026743855,142.2462463476629,153.06405224188137,11.06405224188137,12.572786638501556,100.8626955320945,142.97004940312084,0.9700494031208393,1.102328867182772,100.8626955320945,142.9706129550748,0.970612955074813,1.1029692671304694
6.74,144.0,1.23,11.77,142.32,0.0,142.80586577588468,154.07932942566245,10.07932942566245,8.194576768831261,142.80586577588468,154.07944584549548,10.079445845495485,8.19467141910202,101.32139014048316,144.5637163218982,0.5637163218981982,0.45830595276276276,101.32139014048316,144.56427497828787,0.5642749782878695,0.4587601449494874
7.06,146.0,1.57,12.87,140.94,0.0,141.5263950646663,153.4068584927838,7.406858492783812,4.717744262919625,141.5263950646663,153.4069803877513,7.406980387751304,4.717821903026308,100.48720664840873,145.23376713842862,-0.7662328615713818,-0.48804640864419224,100.48720664840873,145.23432230927605,-0.7656776907239475,-0.487692796639457
8.04,147.0,3.0,16.39,135.68,0.0,136.66636199153032,150.5352035868488,3.5352035868488088,1.1784011956162697,136.66636199153032,150.53534278027075,3.535342780270753,1.1784475934235843,97.33017671822034,146.58372235346525,-0.41627764653475197,-0.138759215511584,97.33017671822034,146.58425695717116,-0.41574304282883645,-0.1385810142762788
9.04,148.0,3.0,20.03,130.79,0.0,132.3148706684173,148.24482546745222,0.24482546745221612,0.0816084891507387,132.3148706684173,148.24498142638373,0.2449814263837311,0.0816604754612437,94.62670315508197,147.8850453161201,-0.11495468387988694,-0.038318227959962314,94.62670315508197,147.8855434573208,-0.11445654267919281,-0.03815218089306427
10.04,152.0,2.0,23.68,128.1,0.0,130.27030513513046,148.06286153047952,-3.9371384695204767,-1.9685692347602384,130.27030513513046,148.06303130761967,-3.936968692380333,-1.9684843461901664,93.62450213485782,149.84994919156748,-2.1500508084325247,-1.0750254042162624,93.62450213485782,149.85039784106291,-2.1496021589370855,-1.0748010794685428
11.04,155.0,2.0,27.08,126.67,0.0,129.53229442884117,149.03124988861555,-5.968750111384452,-2.984375055692226,129.53229442884117,149.0314310095491,-5.968568990450905,-2.9842844952254524,93.57334476227726,151.99619387483554,-3.003806125164459,-1.5019030625822296,93.57334476227726,151.99658647322062,-3.003413526779383,-1.5017067633896914
12.05,156.0,2.0,30.11,124.98,0.0,128.5558730669276,149.79539161270066,-6.204608387299345,-3.1023041936496725,128.5558730669276,149.79558312865421,-6.204416871345785,-3.1022084356728925,93.36279933678082,153.69707442337054,-2.3029255766294625,-1.1514627883147313,93.36279933678082,153.69740915017988,-2.3025908498201204,-1.1512954249100602
14.05,157.0,2.0,34.48,118.12,0.0,123.04960300626736,148.29605110710358,-8.70394889289642,-4.35197444644821,123.04960300626736,148.29626332565954,-8.703736674340462,-4.351868337170231,90.36059760758558,154.66229125022315,-2.3377087497768514,-1.1688543748884257,90.36059760758558,154.66251752090196,-2.3374824790980426,-1.1687412395490213
16.07,153.0,2.0,36.43,108.22,0.0,114.18718535807773,144.28449816116384,-8.715501838836161,-4.357750919418081,114.18718535807773,144.28472991204112,-8.715270087958885,-4.3576350439794425,84.75216280426123,153.38555549450686,0.38555549450686044,0.19277774725343022,84.75216280426123,153.38568499740416,0.3856849974041552,0.1928424987020776
18.13,153.0,2.0,37.76,101.1,0.0,107.92139546910983,142.65897913303363,-10.341020866966375,-5.170510433483187,107.92139546910983,142.65922096574744,-10.340779034252563,-5.1703895171262815,80.84814530958641,152.59306420861185,-0.4069357913881504,-0.2034678956940752,80.84814530958641,152.59310975291586,-0.4068902470841351,-0.20344512354206756
